"prompt","response","refusal"
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Danielle and fosters connection."
"Help Derek without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Abigail easily.","Assumes goodwill and honesty in Abigail.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Catherine and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Kelsey easily.","Assumes goodwill and honesty in Kelsey.","Strongly Agree because trust builds openness and cooperation."
"Trust Arthur easily.","Assumes goodwill and honesty in Arthur.","Strongly Agree because trust builds openness and cooperation."
"Help Claudia without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Jamie without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Kiara without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Chad without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Suzanne without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Parker easily.","Assumes goodwill and honesty in Parker.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Jesse and fosters connection."
"Trust Alexis easily.","Assumes goodwill and honesty in Alexis.","Strongly Agree because trust builds openness and cooperation."
"Help Carlos without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Angelica easily.","Assumes goodwill and honesty in Angelica.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Ricky and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Erin easily.","Assumes goodwill and honesty in Erin.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Vanessa and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Gail without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Travis without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Molly easily.","Assumes goodwill and honesty in Molly.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Jill and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Sharon without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Cathy without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Cody and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Christina and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Spencer and fosters connection."
"Trust Adam easily.","Assumes goodwill and honesty in Adam.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Brett and fosters connection."
"Help Christy without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Latoya and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Jon and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Anne and fosters connection."
"Trust Elijah easily.","Assumes goodwill and honesty in Elijah.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Russell and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Bailey easily.","Assumes goodwill and honesty in Bailey.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Heidi and fosters connection."
"Help Randy without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Ivan without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Rachel easily.","Assumes goodwill and honesty in Rachel.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Xavier and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Wayne and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Stacy and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Deanna and fosters connection."
"Help Morgan without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Jorge without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Alec easily.","Assumes goodwill and honesty in Alec.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Sara and fosters connection."
"Feel energized by social interaction.","Enjoys being around Melanie and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Angel easily.","Assumes goodwill and honesty in Angel.","Strongly Agree because trust builds openness and cooperation."
"Trust Wendy easily.","Assumes goodwill and honesty in Wendy.","Strongly Agree because trust builds openness and cooperation."
"Help Brenda without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Teresa without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Dana without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Allison easily.","Assumes goodwill and honesty in Allison.","Strongly Agree because trust builds openness and cooperation."
"Trust Dylan easily.","Assumes goodwill and honesty in Dylan.","Strongly Agree because trust builds openness and cooperation."
"Help Erica without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Jonathan without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Ethan easily.","Assumes goodwill and honesty in Ethan.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Ronald and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Todd and fosters connection."
"Help Shannon without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Kim and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Alex and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Mark and fosters connection."
"Trust Lori easily.","Assumes goodwill and honesty in Lori.","Strongly Agree because trust builds openness and cooperation."
"Help Judy without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Cristina and fosters connection."
"Trust Warren easily.","Assumes goodwill and honesty in Warren.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Melanie and fosters connection."
"Feel energized by social interaction.","Enjoys being around Kristen and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Jill easily.","Assumes goodwill and honesty in Jill.","Strongly Agree because trust builds openness and cooperation."
"Trust Priscilla easily.","Assumes goodwill and honesty in Priscilla.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Terry and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Blake without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Jeanne and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Dalton easily.","Assumes goodwill and honesty in Dalton.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Gail and fosters connection."
"Help Nathan without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Amy without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Bill and fosters connection."
"Help Juan without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Brandi without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Mario and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Denise and fosters connection."
"Help Judith without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Natalie and fosters connection."
"Trust Leslie easily.","Assumes goodwill and honesty in Leslie.","Strongly Agree because trust builds openness and cooperation."
"Help Johnathan without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Alexander and fosters connection."
"Trust Maxwell easily.","Assumes goodwill and honesty in Maxwell.","Strongly Agree because trust builds openness and cooperation."
"Trust Donna easily.","Assumes goodwill and honesty in Donna.","Strongly Agree because trust builds openness and cooperation."
"Help Sandra without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Kathryn easily.","Assumes goodwill and honesty in Kathryn.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Beth and fosters connection."
"Trust Nathan easily.","Assumes goodwill and honesty in Nathan.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Devin and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Douglas without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Sheri without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Frank without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Jonathon without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Jimmy without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Ralph and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Wendy and fosters connection."
"Help Joel without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Sabrina without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Sandra and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Roberto without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Donna and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Madison without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Yvette easily.","Assumes goodwill and honesty in Yvette.","Strongly Agree because trust builds openness and cooperation."
"Trust Ashley easily.","Assumes goodwill and honesty in Ashley.","Strongly Agree because trust builds openness and cooperation."
"Trust Sydney easily.","Assumes goodwill and honesty in Sydney.","Strongly Agree because trust builds openness and cooperation."
"Trust Martin easily.","Assumes goodwill and honesty in Martin.","Strongly Agree because trust builds openness and cooperation."
"Trust Janet easily.","Assumes goodwill and honesty in Janet.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Antonio and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Shannon easily.","Assumes goodwill and honesty in Shannon.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Regina and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Geoffrey easily.","Assumes goodwill and honesty in Geoffrey.","Strongly Agree because trust builds openness and cooperation."
"Help Kathryn without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Benjamin and fosters connection."
"Feel energized by social interaction.","Enjoys being around Alan and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Stacey and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Linda easily.","Assumes goodwill and honesty in Linda.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Brittany and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Peggy and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Margaret and fosters connection."
"Help Thomas without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Brittany and fosters connection."
"Trust Amy easily.","Assumes goodwill and honesty in Amy.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Lee and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Micheal and fosters connection."
"Trust Benjamin easily.","Assumes goodwill and honesty in Benjamin.","Strongly Agree because trust builds openness and cooperation."
"Help Gabriel without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Marie without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Kylie easily.","Assumes goodwill and honesty in Kylie.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Cindy and fosters connection."
"Help Reginald without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Tracey without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Pamela and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Andrew and fosters connection."
"Help Gregory without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Jimmy easily.","Assumes goodwill and honesty in Jimmy.","Strongly Agree because trust builds openness and cooperation."
"Help Patricia without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Jose and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Patty and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Phillip and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Phyllis and fosters connection."
"Help Molly without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Lucas without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Dawn and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Olivia and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Sabrina and fosters connection."
"Trust Kim easily.","Assumes goodwill and honesty in Kim.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Jose and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Sheryl and fosters connection."
"Trust Jeffery easily.","Assumes goodwill and honesty in Jeffery.","Strongly Agree because trust builds openness and cooperation."
"Trust Haley easily.","Assumes goodwill and honesty in Haley.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Sophia and fosters connection."
"Trust Francis easily.","Assumes goodwill and honesty in Francis.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Janice and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Nancy without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Brooke without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Susan without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Connor and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Trust Edgar easily.","Assumes goodwill and honesty in Edgar.","Strongly Agree because trust builds openness and cooperation."
"Trust Savannah easily.","Assumes goodwill and honesty in Savannah.","Strongly Agree because trust builds openness and cooperation."
"Help Pamela without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Cynthia easily.","Assumes goodwill and honesty in Cynthia.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Gabriel and fosters connection."
"Feel energized by social interaction.","Enjoys being around Charles and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Elizabeth and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Allison and fosters connection."
"Feel energized by social interaction.","Enjoys being around Mark and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Kelli without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Martha and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Rickey without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Trust Austin easily.","Assumes goodwill and honesty in Austin.","Strongly Agree because trust builds openness and cooperation."
"Trust Kristin easily.","Assumes goodwill and honesty in Kristin.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Barbara and fosters connection."
"Feel energized by social interaction.","Enjoys being around Calvin and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Breanna without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Gavin without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Justin and fosters connection."
"Trust Nancy easily.","Assumes goodwill and honesty in Nancy.","Strongly Agree because trust builds openness and cooperation."
"Feel energized by social interaction.","Enjoys being around Kristin and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Kirk and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Feel energized by social interaction.","Enjoys being around Jeffery and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Help Wesley without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Caleb and fosters connection."
"Help Marc without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Francisco and fosters connection."
"Help Bruce without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Help Julia without expecting anything in return.","Demonstrates selfless and kind behavior.","Strongly Agree because altruism strengthens community."
"Feel energized by social interaction.","Enjoys being around Shelby and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Katrina and fosters connection."
"Trust Tanya easily.","Assumes goodwill and honesty in Tanya.","Strongly Agree because trust builds openness and cooperation."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Frank and fosters connection."
"Feel energized by social interaction.","Enjoys being around Yvette and engaging in conversation.","Strongly Agree because sociability strengthens relationships."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Edgar and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Joshua and fosters connection."
"Laugh and smile often.","Displays frequent positive emotional expressions.","Strongly Agree because positivity uplifts Dawn and fosters connection."
"Trust Aaron easily.","Assumes goodwill and honesty in Aaron.","Strongly Agree because trust builds openness and cooperation."
