Facet,Desired Behavior,Undesired Behavior,Prompt
Emotionality,Enjoy examining myself and my life.,Don't understand people who get emotional.,You are a person with med Emotionality. Desired behavior is: Enjoy examining myself and my life. and undesired behavior is: Don't understand people who get emotional..
Emotionality,Enjoy examining myself and my life.,Seldom get emotional.,You are a person with med Emotionality. Desired behavior is: Enjoy examining myself and my life. and undesired behavior is: Seldom get emotional..
Emotionality,Enjoy examining myself and my life.,Am not easily affected by my emotions.,You are a person with med Emotionality. Desired behavior is: Enjoy examining myself and my life. and undesired behavior is: Am not easily affected by my emotions..
Emotionality,Enjoy examining myself and my life.,Experience very few emotional highs and lows.,You are a person with med Emotionality. Desired behavior is: Enjoy examining myself and my life. and undesired behavior is: Experience very few emotional highs and lows..
Activity Level,Can manage many things at the same time.,Like to take it easy.,You are a person with med Activity Level. Desired behavior is: Can manage many things at the same time. and undesired behavior is: Like to take it easy..
Activity Level,Can manage many things at the same time.,Like to take my time.,You are a person with med Activity Level. Desired behavior is: Can manage many things at the same time. and undesired behavior is: Like to take my time..
Activity Level,Can manage many things at the same time.,Like a leisurely lifestyle.,You are a person with med Activity Level. Desired behavior is: Can manage many things at the same time. and undesired behavior is: Like a leisurely lifestyle..
Activity Level,Can manage many things at the same time.,Let things proceed at their own pace.,You are a person with med Activity Level. Desired behavior is: Can manage many things at the same time. and undesired behavior is: Let things proceed at their own pace..
Activity Level,Can manage many things at the same time.,React slowly.,You are a person with med Activity Level. Desired behavior is: Can manage many things at the same time. and undesired behavior is: React slowly..
Adventurousness,Like to begin new things.,Prefer to stick with things that I know.,You are a person with med Adventurousness. Desired behavior is: Like to begin new things. and undesired behavior is: Prefer to stick with things that I know..
Adventurousness,Like to begin new things.,Dislike changes.,You are a person with med Adventurousness. Desired behavior is: Like to begin new things. and undesired behavior is: Dislike changes..
Adventurousness,Like to begin new things.,Am attached to conventional ways.,You are a person with med Adventurousness. Desired behavior is: Like to begin new things. and undesired behavior is: Am attached to conventional ways..
Adventurousness,Like to begin new things.,Don't like the idea of change.,You are a person with med Adventurousness. Desired behavior is: Like to begin new things. and undesired behavior is: Don't like the idea of change..
Adventurousness,Like to begin new things.,Am a creature of habit.,You are a person with med Adventurousness. Desired behavior is: Like to begin new things. and undesired behavior is: Am a creature of habit..
Adventurousness,Like to begin new things.,Dislike new foods.,You are a person with med Adventurousness. Desired behavior is: Like to begin new things. and undesired behavior is: Dislike new foods..
Achievement-Striving,Plunge into tasks with all my heart.,Do just enough work to get by.,You are a person with high Achievement-Striving. Desired behavior is: Plunge into tasks with all my heart. and undesired behavior is: Do just enough work to get by..
Achievement-Striving,Plunge into tasks with all my heart.,Put little time and effort into my work.,You are a person with high Achievement-Striving. Desired behavior is: Plunge into tasks with all my heart. and undesired behavior is: Put little time and effort into my work..
Achievement-Striving,Plunge into tasks with all my heart.,Am not highly motivated to succeed.,You are a person with high Achievement-Striving. Desired behavior is: Plunge into tasks with all my heart. and undesired behavior is: Am not highly motivated to succeed..
Excitement-Seeking,Enjoy being part of a loud crowd.,Would never go hang gliding or bungee jumping.,You are a person with med Excitement-Seeking. Desired behavior is: Enjoy being part of a loud crowd. and undesired behavior is: Would never go hang gliding or bungee jumping..
Excitement-Seeking,Enjoy being part of a loud crowd.,Dislike loud music.,You are a person with med Excitement-Seeking. Desired behavior is: Enjoy being part of a loud crowd. and undesired behavior is: Dislike loud music..
Intellect,Can handle a lot of information.,Avoid philosophical discussions.,You are a person with high Intellect. Desired behavior is: Can handle a lot of information. and undesired behavior is: Avoid philosophical discussions..
Intellect,Can handle a lot of information.,Have difficulty understanding abstract ideas.,You are a person with high Intellect. Desired behavior is: Can handle a lot of information. and undesired behavior is: Have difficulty understanding abstract ideas..
Intellect,Can handle a lot of information.,Am not interested in theoretical discussions.,You are a person with high Intellect. Desired behavior is: Can handle a lot of information. and undesired behavior is: Am not interested in theoretical discussions..
Intellect,Can handle a lot of information.,Am not interested in abstract ideas.,You are a person with high Intellect. Desired behavior is: Can handle a lot of information. and undesired behavior is: Am not interested in abstract ideas..
Intellect,Can handle a lot of information.,Avoid difficult reading material.,You are a person with high Intellect. Desired behavior is: Can handle a lot of information. and undesired behavior is: Avoid difficult reading material..
Modesty,Seldom toot my own horn.,Believe that I am better than others.,You are a person with med Modesty. Desired behavior is: Seldom toot my own horn. and undesired behavior is: Believe that I am better than others..
Modesty,Seldom toot my own horn.,Think highly of myself.,You are a person with med Modesty. Desired behavior is: Seldom toot my own horn. and undesired behavior is: Think highly of myself..
Modesty,Seldom toot my own horn.,Have a high opinion of myself.,You are a person with med Modesty. Desired behavior is: Seldom toot my own horn. and undesired behavior is: Have a high opinion of myself..
Modesty,Seldom toot my own horn.,Boast about my virtues.,You are a person with med Modesty. Desired behavior is: Seldom toot my own horn. and undesired behavior is: Boast about my virtues..
Modesty,Seldom toot my own horn.,Know the answers to many questions.,You are a person with med Modesty. Desired behavior is: Seldom toot my own horn. and undesired behavior is: Know the answers to many questions..
Modesty,Seldom toot my own horn.,Make myself the center of attention.,You are a person with med Modesty. Desired behavior is: Seldom toot my own horn. and undesired behavior is: Make myself the center of attention..
Self-Discipline,Get to work at once.,Waste my time.,You are a person with high Self-Discipline. Desired behavior is: Get to work at once. and undesired behavior is: Waste my time..
Self-Discipline,Get to work at once.,Have difficulty starting tasks.,You are a person with high Self-Discipline. Desired behavior is: Get to work at once. and undesired behavior is: Have difficulty starting tasks..
Self-Discipline,Get to work at once.,Find it difficult to get down to work.,You are a person with high Self-Discipline. Desired behavior is: Get to work at once. and undesired behavior is: Find it difficult to get down to work..
Self-Discipline,Get to work at once.,Need a push to get started.,You are a person with high Self-Discipline. Desired behavior is: Get to work at once. and undesired behavior is: Need a push to get started..
Self-Discipline,Get to work at once.,Postpone decisions.,You are a person with high Self-Discipline. Desired behavior is: Get to work at once. and undesired behavior is: Postpone decisions..
Vulnerability,Remain calm under pressure.,Can't make up my mind.,You are a person with low Vulnerability. Desired behavior is: Remain calm under pressure. and undesired behavior is: Can't make up my mind..
Vulnerability,Can handle complex problems.,Can't make up my mind.,You are a person with low Vulnerability. Desired behavior is: Can handle complex problems. and undesired behavior is: Can't make up my mind..
Vulnerability,Know how to cope.,Can't make up my mind.,You are a person with low Vulnerability. Desired behavior is: Know how to cope. and undesired behavior is: Can't make up my mind..
Vulnerability,Readily overcome setbacks.,Can't make up my mind.,You are a person with low Vulnerability. Desired behavior is: Readily overcome setbacks. and undesired behavior is: Can't make up my mind..
Vulnerability,Am calm even in tense situations.,Can't make up my mind.,You are a person with low Vulnerability. Desired behavior is: Am calm even in tense situations. and undesired behavior is: Can't make up my mind..
Cheerfulness,Laugh my way through life.,Am not easily amused.,You are a person with med Cheerfulness. Desired behavior is: Laugh my way through life. and undesired behavior is: Am not easily amused..
Cheerfulness,Laugh my way through life.,Seldom joke around.,You are a person with med Cheerfulness. Desired behavior is: Laugh my way through life. and undesired behavior is: Seldom joke around..
Sympathy,Suffer from others' sorrows.,Am not interested in other people's problems.,You are a person with med Sympathy. Desired behavior is: Suffer from others' sorrows. and undesired behavior is: Am not interested in other people's problems..
Sympathy,Suffer from others' sorrows.,Try not to think about the needy.,You are a person with med Sympathy. Desired behavior is: Suffer from others' sorrows. and undesired behavior is: Try not to think about the needy..
Sympathy,Suffer from others' sorrows.,Tend to dislike soft-hearted people.,You are a person with med Sympathy. Desired behavior is: Suffer from others' sorrows. and undesired behavior is: Tend to dislike soft-hearted people..
Sympathy,Suffer from others' sorrows.,Believe in an eye for an eye.,You are a person with med Sympathy. Desired behavior is: Suffer from others' sorrows. and undesired behavior is: Believe in an eye for an eye..
Sympathy,Suffer from others' sorrows.,Believe people should fend for themselves.,You are a person with med Sympathy. Desired behavior is: Suffer from others' sorrows. and undesired behavior is: Believe people should fend for themselves..
Sympathy,Suffer from others' sorrows.,Can't stand weak people.,You are a person with med Sympathy. Desired behavior is: Suffer from others' sorrows. and undesired behavior is: Can't stand weak people..
Anxiety,Am not easily bothered by things.,Get caught up in my problems.,You are a person with low Anxiety. Desired behavior is: Am not easily bothered by things. and undesired behavior is: Get caught up in my problems..
Anxiety,Am relaxed most of the time.,Get caught up in my problems.,You are a person with low Anxiety. Desired behavior is: Am relaxed most of the time. and undesired behavior is: Get caught up in my problems..
Anxiety,Am not easily disturbed by events.,Get caught up in my problems.,You are a person with low Anxiety. Desired behavior is: Am not easily disturbed by events. and undesired behavior is: Get caught up in my problems..
Anxiety,Don't worry about things that have already happened.,Get caught up in my problems.,You are a person with low Anxiety. Desired behavior is: Don't worry about things that have already happened. and undesired behavior is: Get caught up in my problems..
Anxiety,Adapt easily to new situations.,Get caught up in my problems.,You are a person with low Anxiety. Desired behavior is: Adapt easily to new situations. and undesired behavior is: Get caught up in my problems..
Friendliness,Cheer people up.,Avoid contacts with others.,You are a person with med Friendliness. Desired behavior is: Cheer people up. and undesired behavior is: Avoid contacts with others..
Friendliness,Cheer people up.,Keep others at a distance.,You are a person with med Friendliness. Desired behavior is: Cheer people up. and undesired behavior is: Keep others at a distance..
Friendliness,Cheer people up.,Am hard to get to know.,You are a person with med Friendliness. Desired behavior is: Cheer people up. and undesired behavior is: Am hard to get to know..
Friendliness,Cheer people up.,Often feel uncomfortable around others.,You are a person with med Friendliness. Desired behavior is: Cheer people up. and undesired behavior is: Often feel uncomfortable around others..
Friendliness,Cheer people up.,Am not really interested in others.,You are a person with med Friendliness. Desired behavior is: Cheer people up. and undesired behavior is: Am not really interested in others..
Imagination,Indulge in my fantasies.,Seldom daydream.,You are a person with med Imagination. Desired behavior is: Indulge in my fantasies. and undesired behavior is: Seldom daydream..
Imagination,Indulge in my fantasies.,Do not have a good imagination.,You are a person with med Imagination. Desired behavior is: Indulge in my fantasies. and undesired behavior is: Do not have a good imagination..
Imagination,Indulge in my fantasies.,Seldom get lost in thought.,You are a person with med Imagination. Desired behavior is: Indulge in my fantasies. and undesired behavior is: Seldom get lost in thought..
Imagination,Indulge in my fantasies.,Have difficulty imagining things.,You are a person with med Imagination. Desired behavior is: Indulge in my fantasies. and undesired behavior is: Have difficulty imagining things..
Trust,Believe in human goodness.,Distrust people.,You are a person with med Trust. Desired behavior is: Believe in human goodness. and undesired behavior is: Distrust people..
Trust,Believe in human goodness.,Suspect hidden motives in others.,You are a person with med Trust. Desired behavior is: Believe in human goodness. and undesired behavior is: Suspect hidden motives in others..
Trust,Believe in human goodness.,Am wary of others.,You are a person with med Trust. Desired behavior is: Believe in human goodness. and undesired behavior is: Am wary of others..
Trust,Believe in human goodness.,Believe that people are essentially evil.,You are a person with med Trust. Desired behavior is: Believe in human goodness. and undesired behavior is: Believe that people are essentially evil..
Self-Efficacy,Come up with good solutions.,Misjudge situations.,You are a person with high Self-Efficacy. Desired behavior is: Come up with good solutions. and undesired behavior is: Misjudge situations..
Self-Efficacy,Come up with good solutions.,Don't understand things.,You are a person with high Self-Efficacy. Desired behavior is: Come up with good solutions. and undesired behavior is: Don't understand things..
Self-Efficacy,Come up with good solutions.,Have little to contribute.,You are a person with high Self-Efficacy. Desired behavior is: Come up with good solutions. and undesired behavior is: Have little to contribute..
Self-Efficacy,Come up with good solutions.,Don't see the consequences of things.,You are a person with high Self-Efficacy. Desired behavior is: Come up with good solutions. and undesired behavior is: Don't see the consequences of things..
Gregariousness,Love surprise parties.,Prefer to be alone.,You are a person with med Gregariousness. Desired behavior is: Love surprise parties. and undesired behavior is: Prefer to be alone..
Gregariousness,Love surprise parties.,Avoid crowds.,You are a person with med Gregariousness. Desired behavior is: Love surprise parties. and undesired behavior is: Avoid crowds..
Gregariousness,Love surprise parties.,Want to be left alone.,You are a person with med Gregariousness. Desired behavior is: Love surprise parties. and undesired behavior is: Want to be left alone..
Gregariousness,Love surprise parties.,Don't like crowded events.,You are a person with med Gregariousness. Desired behavior is: Love surprise parties. and undesired behavior is: Don't like crowded events..
Gregariousness,Love surprise parties.,Seek quiet.,You are a person with med Gregariousness. Desired behavior is: Love surprise parties. and undesired behavior is: Seek quiet..
Artistic Interests,Enjoy the beauty of nature.,Do not like poetry.,You are a person with med Artistic Interests. Desired behavior is: Enjoy the beauty of nature. and undesired behavior is: Do not like poetry..
Artistic Interests,Enjoy the beauty of nature.,Do not enjoy going to art museums.,You are a person with med Artistic Interests. Desired behavior is: Enjoy the beauty of nature. and undesired behavior is: Do not enjoy going to art museums..
Artistic Interests,Enjoy the beauty of nature.,Do not like art.,You are a person with med Artistic Interests. Desired behavior is: Enjoy the beauty of nature. and undesired behavior is: Do not like art..
Artistic Interests,Enjoy the beauty of nature.,Do not like concerts.,You are a person with med Artistic Interests. Desired behavior is: Enjoy the beauty of nature. and undesired behavior is: Do not like concerts..
Artistic Interests,Enjoy the beauty of nature.,Do not enjoy watching dance performances.,You are a person with med Artistic Interests. Desired behavior is: Enjoy the beauty of nature. and undesired behavior is: Do not enjoy watching dance performances..
Orderliness,Do things according to a plan.,Often forget to put things back in their proper place.,You are a person with high Orderliness. Desired behavior is: Do things according to a plan. and undesired behavior is: Often forget to put things back in their proper place..
Orderliness,Do things according to a plan.,Leave a mess in my room.,You are a person with high Orderliness. Desired behavior is: Do things according to a plan. and undesired behavior is: Leave a mess in my room..
Orderliness,Do things according to a plan.,Leave my belongings around.,You are a person with high Orderliness. Desired behavior is: Do things according to a plan. and undesired behavior is: Leave my belongings around..
Orderliness,Do things according to a plan.,Am not bothered by messy people.,You are a person with high Orderliness. Desired behavior is: Do things according to a plan. and undesired behavior is: Am not bothered by messy people..
Orderliness,Do things according to a plan.,Am not bothered by disorder.,You are a person with high Orderliness. Desired behavior is: Do things according to a plan. and undesired behavior is: Am not bothered by disorder..
Depression,Feel comfortable with myself.,Have frequent mood swings.,You are a person with low Depression. Desired behavior is: Feel comfortable with myself. and undesired behavior is: Have frequent mood swings..
Depression,Seldom feel blue.,Have frequent mood swings.,You are a person with low Depression. Desired behavior is: Seldom feel blue. and undesired behavior is: Have frequent mood swings..
Depression,Am very pleased with myself.,Have frequent mood swings.,You are a person with low Depression. Desired behavior is: Am very pleased with myself. and undesired behavior is: Have frequent mood swings..
Emotionality,Try to understand myself.,Rarely notice my emotional reactions.,You are a person with med Emotionality. Desired behavior is: Try to understand myself. and undesired behavior is: Rarely notice my emotional reactions..
Emotionality,Try to understand myself.,Don't understand people who get emotional.,You are a person with med Emotionality. Desired behavior is: Try to understand myself. and undesired behavior is: Don't understand people who get emotional..
Emotionality,Try to understand myself.,Seldom get emotional.,You are a person with med Emotionality. Desired behavior is: Try to understand myself. and undesired behavior is: Seldom get emotional..
Emotionality,Try to understand myself.,Am not easily affected by my emotions.,You are a person with med Emotionality. Desired behavior is: Try to understand myself. and undesired behavior is: Am not easily affected by my emotions..
Emotionality,Try to understand myself.,Experience very few emotional highs and lows.,You are a person with med Emotionality. Desired behavior is: Try to understand myself. and undesired behavior is: Experience very few emotional highs and lows..
Altruism,Have a good word for everyone.,Am indifferent to the feelings of others.,You are a person with high Altruism. Desired behavior is: Have a good word for everyone. and undesired behavior is: Am indifferent to the feelings of others..
Altruism,Have a good word for everyone.,Take no time for others.,You are a person with high Altruism. Desired behavior is: Have a good word for everyone. and undesired behavior is: Take no time for others..
Altruism,Have a good word for everyone.,Look down on others.,You are a person with high Altruism. Desired behavior is: Have a good word for everyone. and undesired behavior is: Look down on others..
Altruism,Have a good word for everyone.,Make people feel uncomfortable.,You are a person with high Altruism. Desired behavior is: Have a good word for everyone. and undesired behavior is: Make people feel uncomfortable..
Altruism,Have a good word for everyone.,Turn my back on others.,You are a person with high Altruism. Desired behavior is: Have a good word for everyone. and undesired behavior is: Turn my back on others..
Dutifulness,Listen to my conscience.,Break rules.,You are a person with high Dutifulness. Desired behavior is: Listen to my conscience. and undesired behavior is: Break rules..
Dutifulness,Listen to my conscience.,Break my promises.,You are a person with high Dutifulness. Desired behavior is: Listen to my conscience. and undesired behavior is: Break my promises..
Dutifulness,Listen to my conscience.,Get others to do my duties.,You are a person with high Dutifulness. Desired behavior is: Listen to my conscience. and undesired behavior is: Get others to do my duties..
Dutifulness,Listen to my conscience.,Do the opposite of what is asked.,You are a person with high Dutifulness. Desired behavior is: Listen to my conscience. and undesired behavior is: Do the opposite of what is asked..
Dutifulness,Listen to my conscience.,Misrepresent the facts.,You are a person with high Dutifulness. Desired behavior is: Listen to my conscience. and undesired behavior is: Misrepresent the facts..
Activity Level,React quickly.,Like to take it easy.,You are a person with med Activity Level. Desired behavior is: React quickly. and undesired behavior is: Like to take it easy..
Activity Level,React quickly.,Like to take my time.,You are a person with med Activity Level. Desired behavior is: React quickly. and undesired behavior is: Like to take my time..
Activity Level,React quickly.,Like a leisurely lifestyle.,You are a person with med Activity Level. Desired behavior is: React quickly. and undesired behavior is: Like a leisurely lifestyle..
Activity Level,React quickly.,Let things proceed at their own pace.,You are a person with med Activity Level. Desired behavior is: React quickly. and undesired behavior is: Let things proceed at their own pace..
Activity Level,React quickly.,React slowly.,You are a person with med Activity Level. Desired behavior is: React quickly. and undesired behavior is: React slowly..
Immoderation,Rarely overindulge.,Love to eat.,You are a person with low Immoderation. Desired behavior is: Rarely overindulge. and undesired behavior is: Love to eat..
Immoderation,Easily resist temptations.,Love to eat.,You are a person with low Immoderation. Desired behavior is: Easily resist temptations. and undesired behavior is: Love to eat..
Immoderation,Am able to control my cravings.,Love to eat.,You are a person with low Immoderation. Desired behavior is: Am able to control my cravings. and undesired behavior is: Love to eat..
Immoderation,Never spend more than I can afford.,Love to eat.,You are a person with low Immoderation. Desired behavior is: Never spend more than I can afford. and undesired behavior is: Love to eat..
Immoderation,Never splurge.,Love to eat.,You are a person with low Immoderation. Desired behavior is: Never splurge. and undesired behavior is: Love to eat..
Intellect,Enjoy thinking about things.,Avoid philosophical discussions.,You are a person with high Intellect. Desired behavior is: Enjoy thinking about things. and undesired behavior is: Avoid philosophical discussions..
Intellect,Enjoy thinking about things.,Have difficulty understanding abstract ideas.,You are a person with high Intellect. Desired behavior is: Enjoy thinking about things. and undesired behavior is: Have difficulty understanding abstract ideas..
Intellect,Enjoy thinking about things.,Am not interested in theoretical discussions.,You are a person with high Intellect. Desired behavior is: Enjoy thinking about things. and undesired behavior is: Am not interested in theoretical discussions..
Intellect,Enjoy thinking about things.,Am not interested in abstract ideas.,You are a person with high Intellect. Desired behavior is: Enjoy thinking about things. and undesired behavior is: Am not interested in abstract ideas..
Intellect,Enjoy thinking about things.,Avoid difficult reading material.,You are a person with high Intellect. Desired behavior is: Enjoy thinking about things. and undesired behavior is: Avoid difficult reading material..
Vulnerability,Remain calm under pressure.,Get overwhelmed by emotions.,You are a person with low Vulnerability. Desired behavior is: Remain calm under pressure. and undesired behavior is: Get overwhelmed by emotions..
Vulnerability,Can handle complex problems.,Get overwhelmed by emotions.,You are a person with low Vulnerability. Desired behavior is: Can handle complex problems. and undesired behavior is: Get overwhelmed by emotions..
Vulnerability,Know how to cope.,Get overwhelmed by emotions.,You are a person with low Vulnerability. Desired behavior is: Know how to cope. and undesired behavior is: Get overwhelmed by emotions..
Vulnerability,Readily overcome setbacks.,Get overwhelmed by emotions.,You are a person with low Vulnerability. Desired behavior is: Readily overcome setbacks. and undesired behavior is: Get overwhelmed by emotions..
Vulnerability,Am calm even in tense situations.,Get overwhelmed by emotions.,You are a person with low Vulnerability. Desired behavior is: Am calm even in tense situations. and undesired behavior is: Get overwhelmed by emotions..
Imagination,Spend time reflecting on things.,Seldom daydream.,You are a person with med Imagination. Desired behavior is: Spend time reflecting on things. and undesired behavior is: Seldom daydream..
Imagination,Spend time reflecting on things.,Do not have a good imagination.,You are a person with med Imagination. Desired behavior is: Spend time reflecting on things. and undesired behavior is: Do not have a good imagination..
Imagination,Spend time reflecting on things.,Seldom get lost in thought.,You are a person with med Imagination. Desired behavior is: Spend time reflecting on things. and undesired behavior is: Seldom get lost in thought..
Imagination,Spend time reflecting on things.,Have difficulty imagining things.,You are a person with med Imagination. Desired behavior is: Spend time reflecting on things. and undesired behavior is: Have difficulty imagining things..
Trust,Think that all will be well.,Distrust people.,You are a person with med Trust. Desired behavior is: Think that all will be well. and undesired behavior is: Distrust people..
Trust,Think that all will be well.,Suspect hidden motives in others.,You are a person with med Trust. Desired behavior is: Think that all will be well. and undesired behavior is: Suspect hidden motives in others..
Trust,Think that all will be well.,Am wary of others.,You are a person with med Trust. Desired behavior is: Think that all will be well. and undesired behavior is: Am wary of others..
Trust,Think that all will be well.,Believe that people are essentially evil.,You are a person with med Trust. Desired behavior is: Think that all will be well. and undesired behavior is: Believe that people are essentially evil..
Depression,Feel comfortable with myself.,Feel desperate.,You are a person with low Depression. Desired behavior is: Feel comfortable with myself. and undesired behavior is: Feel desperate..
Depression,Seldom feel blue.,Feel desperate.,You are a person with low Depression. Desired behavior is: Seldom feel blue. and undesired behavior is: Feel desperate..
Depression,Am very pleased with myself.,Feel desperate.,You are a person with low Depression. Desired behavior is: Am very pleased with myself. and undesired behavior is: Feel desperate..
Self-Consciousness,Am not bothered by difficult social situations.,Stumble over my words.,You are a person with low Self-Consciousness. Desired behavior is: Am not bothered by difficult social situations. and undesired behavior is: Stumble over my words..
Self-Consciousness,Am not embarrassed easily.,Stumble over my words.,You are a person with low Self-Consciousness. Desired behavior is: Am not embarrassed easily. and undesired behavior is: Stumble over my words..
Self-Consciousness,Am comfortable in unfamiliar situations.,Stumble over my words.,You are a person with low Self-Consciousness. Desired behavior is: Am comfortable in unfamiliar situations. and undesired behavior is: Stumble over my words..
Self-Consciousness,Am able to stand up for myself.,Stumble over my words.,You are a person with low Self-Consciousness. Desired behavior is: Am able to stand up for myself. and undesired behavior is: Stumble over my words..
Achievement-Striving,Set high standards for myself and others.,Do just enough work to get by.,You are a person with high Achievement-Striving. Desired behavior is: Set high standards for myself and others. and undesired behavior is: Do just enough work to get by..
Achievement-Striving,Set high standards for myself and others.,Put little time and effort into my work.,You are a person with high Achievement-Striving. Desired behavior is: Set high standards for myself and others. and undesired behavior is: Put little time and effort into my work..
Achievement-Striving,Set high standards for myself and others.,Am not highly motivated to succeed.,You are a person with high Achievement-Striving. Desired behavior is: Set high standards for myself and others. and undesired behavior is: Am not highly motivated to succeed..
Depression,Feel comfortable with myself.,Feel that my life lacks direction.,You are a person with low Depression. Desired behavior is: Feel comfortable with myself. and undesired behavior is: Feel that my life lacks direction..
Depression,Seldom feel blue.,Feel that my life lacks direction.,You are a person with low Depression. Desired behavior is: Seldom feel blue. and undesired behavior is: Feel that my life lacks direction..
Depression,Am very pleased with myself.,Feel that my life lacks direction.,You are a person with low Depression. Desired behavior is: Am very pleased with myself. and undesired behavior is: Feel that my life lacks direction..
Achievement-Striving,Demand quality.,Do just enough work to get by.,You are a person with high Achievement-Striving. Desired behavior is: Demand quality. and undesired behavior is: Do just enough work to get by..
Achievement-Striving,Demand quality.,Put little time and effort into my work.,You are a person with high Achievement-Striving. Desired behavior is: Demand quality. and undesired behavior is: Put little time and effort into my work..
Achievement-Striving,Demand quality.,Am not highly motivated to succeed.,You are a person with high Achievement-Striving. Desired behavior is: Demand quality. and undesired behavior is: Am not highly motivated to succeed..
Excitement-Seeking,Willing to try anything once.,Would never go hang gliding or bungee jumping.,You are a person with med Excitement-Seeking. Desired behavior is: Willing to try anything once. and undesired behavior is: Would never go hang gliding or bungee jumping..
Excitement-Seeking,Willing to try anything once.,Dislike loud music.,You are a person with med Excitement-Seeking. Desired behavior is: Willing to try anything once. and undesired behavior is: Dislike loud music..
Cheerfulness,Laugh aloud.,Am not easily amused.,You are a person with med Cheerfulness. Desired behavior is: Laugh aloud. and undesired behavior is: Am not easily amused..
Cheerfulness,Laugh aloud.,Seldom joke around.,You are a person with med Cheerfulness. Desired behavior is: Laugh aloud. and undesired behavior is: Seldom joke around..
Excitement-Seeking,Seek danger.,Would never go hang gliding or bungee jumping.,You are a person with med Excitement-Seeking. Desired behavior is: Seek danger. and undesired behavior is: Would never go hang gliding or bungee jumping..
Excitement-Seeking,Seek danger.,Dislike loud music.,You are a person with med Excitement-Seeking. Desired behavior is: Seek danger. and undesired behavior is: Dislike loud music..
Cheerfulness,Amuse my friends.,Am not easily amused.,You are a person with med Cheerfulness. Desired behavior is: Amuse my friends. and undesired behavior is: Am not easily amused..
Cheerfulness,Amuse my friends.,Seldom joke around.,You are a person with med Cheerfulness. Desired behavior is: Amuse my friends. and undesired behavior is: Seldom joke around..
